B38564108,*,EURONAV NV ANTWERPEN,SHS,
B38564908,,EURONAV NV ANTWERPEN,CALL,
B38564958,,EURONAV NV ANTWERPEN,PUT,
C0534LAA3,,AURORA CANNABIS INC,DEBT  5.500% 2/2,
C10268AC1,,BLACKBERRY LTD,DEBT  3.750%11/1,
C8509QAA6,,SSR MNG INC,DEBT  2.500% 4/0,
D18190898,*,DEUTSCHE BANK AG,NAMEN AKT,
D18190908,,DEUTSCHE BANK AG,CALL,
D18190958,,DEUTSCHE BANK AG,PUT,
F21107101,*,CONSTELLIUM SE,CL A SHS,ADDED
F21107901,,CONSTELLIUM SE,CALL,ADDED
F21107951,,CONSTELLIUM SE,PUT,ADDED
G0080J104,,ACT II GLOBAL ACQUISITION CO,CL A SHS,
G0080J112,,ACT II GLOBAL ACQUISITION CO,UNIT 04/30/2026,
G0080J120,,ACT II GLOBAL ACQUISITION CO,*W EXP 04/30/202,
G0084W101,*,ADIENT PLC,ORD SHS,
G0084W901,,ADIENT PLC,CALL,
G0084W951,,ADIENT PLC,PUT,
G01125106,*,AFYA LTD,CL A COM,
G01125906,,AFYA LTD,CALL,
G01125956,,AFYA LTD,PUT,
G0120M109,,AGBA ACQUISITION LTD,SHS,
G0120M117,,AGBA ACQUISITION LTD,*W EXP 05/10/202,
G0120M125,,AGBA ACQUISITION LTD,RIGHT 05/10/2024,
G0120M133,,AGBA ACQUISITION LTD,UNIT 05/10/2024,
G0129K104,*,AIRCASTLE LTD,COM,
G0129K904,,AIRCASTLE LTD,CALL,
G0129K954,,AIRCASTLE LTD,PUT,
G0132V105,,AGM GROUP HOLDINGS INC,SHS CL A,
G0176J109,*,ALLEGION PUB LTD CO,ORD SHS,
G0176J909,,ALLEGION PUB LTD CO,CALL,
G0176J959,,ALLEGION PUB LTD CO,PUT,
G01767105,*,ALKERMES PLC,SHS,
G01767905,,ALKERMES PLC,CALL,
G01767955,,ALKERMES PLC,PUT,
G0177J108,*,ALLERGAN PLC,SHS,
G0177J908,,ALLERGAN PLC,CALL,
G0177J958,,ALLERGAN PLC,PUT,
G0232J127,,ALUSSA ENERGY ACQUISITION CO,UNIT 10/31/2026,ADDED
G0250X107,*,AMCOR PLC,ORD,
G0250X907,,AMCOR PLC,CALL,
G0250X957,,AMCOR PLC,PUT,
G02602103,*,AMDOCS LTD,SHS,
G02602903,,AMDOCS LTD,CALL,
G02602953,,AMDOCS LTD,PUT,
G0335L102,*,AMIRA NATURE FOODS LTD,SHS,DELETED
G0335L902,,AMIRA NATURE FOODS LTD,CALL,DELETED
G0335L952,,AMIRA NATURE FOODS LTD,PUT,DELETED
G0335L201,*,AMIRA NATURE FOODS LTD,SHS NEW,ADDED
G0335L901,,AMIRA NATURE FOODS LTD,CALL,ADDED
G0335L951,,AMIRA NATURE FOODS LTD,PUT,ADDED
G037AX101,*,AMBARELLA INC,SHS,
G037AX901,,AMBARELLA INC,CALL,
G037AX951,,AMBARELLA INC,PUT,
G0408V102,*,AON PLC,SHS CL A,
G0408V902,,AON PLC,CALL,
G0408V952,,AON PLC,PUT,
G04415108,,ANDINA ACQUISITION CORP III,SHS,
G04415116,,ANDINA ACQUISITION CORP III,UNIT 09/24/2020,
G04415124,,ANDINA ACQUISITION CORP III,*W EXP 07/31/202,
G04415132,,ANDINA ACQUISITION CORP III,RIGHT 07/31/2020,
G0443N107,,AQUAVENTURE HLDGS LTD,SHS,
G0450A105,*,ARCH CAP GROUP LTD,ORD,
G0450A905,,ARCH CAP GROUP LTD,CALL,
G0450A955,,ARCH CAP GROUP LTD,PUT,
G04553106,,ARCO PLATFORM LTD,COM CL A,
G0457F107,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,
G0457F907,,ARCOS DORADOS HOLDINGS INC,CALL,
G0457F957,,ARCOS DORADOS HOLDINGS INC,PUT,
G0464B107,*,ARGO GROUP INTL HLDGS LTD,COM,
